Period,Date,Long Date,Open,High,Low,Close,Upper Trend Channel,Trend Channel Pivot,Lower Trend Channel,Up Trends,New Uptrends,Down Trends,New Downtrends,Total Component Volume,Advances,Declines,Advancing Volume,Declining Volume,New Highs,New Lows,Issues Traded,Issues Unchanged,% above 200MA,% above 30MA,% above 18MA,% above 9MA,% above 4MA,Total Stks above 200MA,Total Stks below 200MA,Total Stks equal 200MA,Total Stks above 30MA,Total Stks below 30MA,Total Stks equal 30MA,Total Stks above 18MA,Total Stks below 18ma,Total Stks equal 18MA,Total Stks above 9MA,Total Stks below 9MA,Total Stks equal 9MA,Total Stks above 4MA,Total Stks below 4MA,Total Stks equal 4MA,New Highs - Quarter,New Lows - Quarter,New 1st Day Highs,New 1st Day Lows,New 1st Day Highs - Quarter,New 1st Day Lows - Quarter,Equal Weight Open Px,Equal Weight High Px,Equal Weight Low Px,Equal Weight Close Px,ETF Trade Volume,% above 50MA,Total Stks above 50MA,Total Stks below 50MA,Total Stks equal 50MA,Total Constituent Price Gains,Total Constituent Price Losses,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15
D,20100209,2/9/10,9910.28027,10139.42969,9910.05957,10058.63965,10582.0275875,10288.69372625,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100210,2/10/10,10055.45996,10085.54004,9962.95996,10038.37988,10472.8601075,10234.10998625,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100211,2/11/10,10037.84961,10161.57031,9976.70996,10144.19043,10340.7177725,10168.03881875,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100212,2/12/10,10137.23047,10137.38965,9983.82031,10099.13965,10238.502685,10116.931275,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2965147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100216,2/16/10,10100.80957,10279.54004,10100.80957,10268.80957,10208.2351075,10101.79748625,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2348982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100217,2/17/10,10261.48047,10320.12988,10261.48047,10309.24023,10242.3000475,10123.35498,10004.4099125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100218,2/18/10,10309.38965,10406.58008,10294.50977,10392.90039,10291.3100575,10154.74743625,10018.184815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100219,2/19/10,10387.76953,10438.5498,10339.16992,10402.34961,10343.32495,10204.5986325,10065.872315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100222,2/22/10,10402.42969,10433.63965,10368.9502,10383.37988,10371.9675275,10245.19116125,10118.414795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100223,2/23/10,10383.16016,10411.12012,10267.83008,10282.41016,10371.9675275,10274.21240125,10176.457275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1907373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100224,2/24/10,10284,10393.50977,10283.92969,10374.16016,10371.9675275,10266.0686025,10160.1696775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1814457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100225,2/25/10,10366.59961,10366.67969,10185.83008,10321.03027,10371.9675275,10255.204955,10138.4423825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100226,2/26/10,10321.41016,10353.4502,10272.29004,10325.25977,10371.9675275,10210.152465,10048.3374025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100301,3/1/10,10326.09961,10413.99023,10326.09961,10403.79004,10395.60498,10195.4824225,9995.359865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100302,3/2/10,10404.16016,10456.91992,10389.42969,10405.98047,10398.875,10201.64245625,10004.4099125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100303,3/3/10,10406.28027,10469.54004,10376.58008,10396.75977,10397.47754,10217.43872125,10037.3999025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
